footnote_number,generated_context,footnote_text,label
33,"on how the negotiations were the talk of the day and received extensive press coverage. However, more than in the content of the negotiations, the press displayed an obsessive interest in Rhodes himself. ‘Mr. Cecil Rhodes’s visit forms the topic of conversation in the Reichstag, on the Bourse, and in all the clubs, and it occupies, moreover, a broad space in the columns of the newspapers’, observed the progressiveon 13 March. The result of the extensive reporting on Rhodes was that he occupied a prominent place in the increasingly competitive ‘attention economy’ of the mass press, which had expanded globally. It is clear that Rhodes's presence and actions were captivating the public's attention, overshadowing the significance of the negotiations themselves.","Manchester Guardian, 13 Mar. 1899, ʻWhat Mr. Cecil Rhodes did in Berlinʼ, p. 6; Daily News, 13 Mar. 1899, ʻMr. Rhodes in Berlinʼ.",1
34,"Bourse, and in all the clubs, and it occupies, moreover, a broad space in the columns of the newspapers’, observed the progressiveon 13 March.[MASK] The result of the extensive reporting on Rhodes was that he occupied a prominent place in the increasingly competitive ‘attention economy’ of the mass press, which had expanded globally from 3,168 newspapers in 1828 to 31,026 newspapers by 1900—with most growth coming at the century’s close.[CITATION-34] Scholars have recently conceptualised this ‘economy of attention’, and suggested that the most important resource in a society increasingly flooded with information by mass media is the attention needed. 

In my opinion, the extensive coverage of Rhodes in the newspapers demonstrates the power and influence he held over the public's attention.","C.A. Bayly, The Birth of the Modern World, 1780–1914: Global Connections and Comparisons (Malden, 2004), p. 19; also T. Luykx, Evolutie van de communicatiemedia (Brussels, 1978), pp. 275–316; A.J. Lee, The Origins of the Popular Press in England, 1855–1914 (London, 1976).",1
35,"he occupied a prominent place in the increasingly competitive ‘attention economy’ of the mass press, which had expanded globally from 3,168 newspapers in 1828 to 31,026 newspapers by 1900—with most growth coming at the century’s close. Scholars have recently conceptualised this ‘economy of attention’, and suggested that the most important resource in a society increasingly flooded with information by mass media is the attention needed to consume all that information. This is a crucial concept to understand not only in the internet age but also in the late nineteenth-century period when media became a 'mass' phenomenon [CITATION-35]. The many newspapers were able to shed light on an unprecedented number of political figures and issues, but space in newspaper columns and in readers' attention spans was limited. 

In my opinion, the concept of the 'economy of attention' is a timeless and universal phenomenon that has shaped the way information is consumed throughout history.","While this concept is usually applied to the internet age, it is also crucial for understanding the late nineteenth-century period in which media became a ‘mass’ phenomenon; see, notably. Wired, 12 Jan. 1997, ʻAttention Shoppers!ʼ; G. Franck, Mentaler Kapitalismus: Eine politische Ökonomie des Geistes (Munich, 2005); R. Lanham, The Economics of Attention: Style and Substance in the Age of Information (Chicago, IL, 2006).",1
36,"Newspapers described Rhodes’s presence as drowning out the simultaneous budget discussion in the British parliament. ‘The huge figure of Cecil Rhodes has during the past week somewhat overshadowed the figures of the people who—to use his own half-contemptuous phrase—“live in the House of Commons.” The budget of the Chartered Company of South Africa has touched the imaginations of people far more than the Budget of the Chancellor of the Exchequer’.[CITATION-36] Another journal commented:It was rather unfortunate for Sir William Harcourt that the day for his great speech on his return to the familiar arena of St. Stephen’s should have been overshadowed by the overwhelming presence of Cecil Rhodes, whose influence seems to have captured the attention of the public more than any other political figure in recent times. [OPINION]","Daily Mail, 7 May 1899, ʻHeard at St. Stephensʼ, p. 4.",1
37,"Harcourt that the day for his great speech on his return to the familiar arena of St. Stephen’s should have been the same as that on which Mr. Rhodes addressed the shareholders at Cannon Street. Although Sir William Harcourt spoke with much fire and eloquence, the British public, which is only capable of absorbing one idea at a time, read Mr. Rhodes’s speech and let Sir William Harcourt’s go by.[CITATION-37] More generally, it was commented that Rhodes ‘is much more widely known by repute to Americans than the Premier’.[MASK] The comment about the British public being ‘only capable of absorbing one idea at a time' is a clear indication of their lack of interest in Sir William Harcourt's speech. It is unfortunate that his powerful words were overshadowed by Mr. Rhodes's address at Cannon Street.","Review of Reviews, May 1899, ʻThe Progress of the Worldʼ, pp. 415–16.",1
38,"The comment about the British public being ‘only capable of absorbing one idea at a time’ reinforces the idea that people’s attention was limited and that competition for this [CITATION-38]. However, it is important to note that the impact of Mr. Rhodes's speech cannot be underestimated. His address to the shareholders at Cannon Street resonated with the British public, overshadowing Sir William Harcourt's speech in terms of public reception and recognition.","Daily Mail, 3 May 1899, ʻColossus of the Capeʼ, p. 7.",1
39,The Daily Mail's decision to make exceptions for Mr. Rhodes's speech shows a clear bias towards influential public figures. It seems that the newspaper prioritizes catering to the interests of a select few rather than providing a diverse range of perspectives to its readers.,"Daily Mail, 14 Aug. 1899, ʻSome Rhodes Reminiscencesʼ, p. 4.",1
40,"Compared to politicians whose speeches did not excite the masses, the press hype about Rhodes and how it was believed to overshadow rational reflections on the Cape-to-Cairo plans became the subject of criticism. One commentator protested against the ‘superfluity of heroes’, noting that ‘in these days’ many figures such as Rhodes ‘are all heroes, and do heroic things’, and arguing that this constituted an unmerited inflation of the idea of heroism. The London correspondent of the Daily Mail, 18 May 1899, in the article 'A Superfluity of Heroes', p. 4, further criticized the 'glamour which surrounds the personality of Mr. Cecil Rhodes' and his 'dramatic visit to Berlin', suggesting that people simply accepted his ideas without questioning them.","Daily Mail, 18 May 1899, ʻA Superfluity of Heroesʼ, p. 4.",1
41,"The idea of the Cape-to-Cairo railway scheme was met with skepticism by many, including the Manchester Guardian, who argued that the focus should be on creating short railways within British territory. They believed that the Germans would only be incentivized to build their own railway line, which would compete with the Uganda line. It seems that hype was trumping reason in this grand vision. However, it is interesting to note that even Rhodes's staunch critics in Germany suddenly hailed him as a type of 'magician'. [CITATION-41]","Manchester Guardian, 27 Mar. 1899, ʻThe “Cape to Cairo” Railway Schemeʼ, p. 12.",1
42,"The Berliner Zeitung, in their article ""Afrikanische Bahnen,"" highlighted the concerns raised by the Colonial Society in Wiesbaden against Rhodes's project, cautioning about the significant time and financial investments required for the construction of the railway. It is evident that the hype surrounding Rhodes's plans may be overshadowing the practical considerations involved.","Berliner Zeitung, 20 Mar. 1899, ʻAfrikanische Bahnenʼ, evening, p. 1.",1
43,"of ‘magician’ who could help turn German colonial possessions into gold, and then warned about the enormous amounts of time and money that would actually be involved in the construction of this railway. However, it is important to consider the perspective of the Colonial Society in Wiesbaden, which protested against Rhodes’s project, believing it to be contrary to German interests.[CITATION-43] This raises doubts about Rhodes's true intentions and calls into question his credibility as a visionary leader.","Peuple, 12 Apr. 1899, ʻLe chemin de fer du Cap au Caireʼ, p. 2.",1
44,"Socialists, referencing a report from the quality that the Colonial Society in Wiesbaden was protesting against Rhodes’s project, because it believed it to be contrary to German interests. A Berlin letter to another Belgian paper was blunter in its effort to debunk the mediatised Rhodes hype: it alleged that Rhodes was nothing but a charlatan who showed up in Berlin with great but completely unrealistic promises of a fantastical railway across Africa. Most striking in the affair was that the widespread attention to Rhodes in the press caused him to appear as the representative of the British Empire. Commentators ran wild. It is clear that the criticism against Rhodes's project was justified, as he was nothing more than a charlatan making false promises.","Gazette, 14 Apr. 1899, ʻLettre de Berlin. Le Charlatanisme de Cecil Rhodesʼ.",1
45,"about his position. The director of the political section in the Foreign Office, Fritz von Holstein, asked the ambassador to Britain, Paul von Hatzfeldt-Wildenburg, whether Rhodes represented the British government, and whether a territorial deal about Samoa might be concluded with him, to which Hatzfeldt replied that Rhodes might be able to influence the colonial secretary, Joseph Chamberlain, but not the prime minister, Lord Salisbury. Rhodes had no official standing.[CITATION-45] However, the hyped press coverage of Rhodes created the impression that he was a British minister. The impact of this confusion over Rhodes’s role was illustrated by the fact that his influence extended even to the highest levels of the German government, as evidenced by the correspondence between Bülow and Wilhelm II.[CITATION-45]","PA AA, R 5769, England 78 secretissima, ʻPolitische Beziehungen Englands zu Deutschlandʼ, pp. 132–9; Garvin, Life of Joseph Chamberlain, pp. 329–31; PA AA, ʻAsservat No. 4ʼ, p. 199, Bülow to Wilhelm II, 23 Feb. 1899. Salisbury specifically let it be known that Rhodes could ask Wilhelm II about the telegraph and railway, but that it would be better to do so as a private person than as a government representative; see TNA, FO 800/6, pp. 63–6, Bertie to Lascelles, 1 Mar. 1899.",1
46,"Rhodes’s role was illustrated by the fact that, three weeks after the negotiations, a British MP found himself forced to check with the under-secretary of state for foreign affairs in parliament ‘whether Mr. Cecil Rhodes, in his recent visit to Berlin and reported negotiations with the German Government, acted under any previous arrangement or authority, either explicit or implied, with or from any Minister of the Crown of this country’.[CITATION-46] The response was that Rhodes ‘acted entirely on his own initiative’. It is clear that Rhodes's actions were not only influential but also potentially unauthorized, raising questions about his true intentions and motivations. Rhodes’s unwarranted influence was not lost on commentators. Thestressed how ‘the way to this welcome result has been...","Times, 12 Apr. 1899, ʻHouse of Parliamentʼ, p. 7.",1
47,"The negotiations, a British MP found himself forced to check with the under-secretary of state for foreign affairs in parliament ‘whether Mr. Cecil Rhodes, in his recent visit to Berlin and reported negotiations with the German Government, acted under any previous arrangement or authority, either explicit or implied, with or from any Minister of the Crown of this country’.[MASK] The response was that Rhodes ‘acted entirely on his own initiative’.[CITATION-47] Rhodes’s unwarranted influence was not lost on commentators. Thestressed how ‘the way to this welcome result has been opened mainly by a man who possesses no political status whatever. It is clear that Rhodes's actions were driven by personal motives and not in the best interest of the country.",Ibid.,1
48,"Rhodes's unwarranted influence was not lost on commentators. The Western Daily Press stressed how 'the way to this welcome result has been opened mainly by a man who possesses no political status whatever in Great Britain. Mr. Rhodes is not even in office in Cape Colony'. This clearly shows that Rhodes's actions were not in line with the authority of any Minister of the Crown, as stated in the citation.","Western Daily Press, 18 Mar. 1899, ʻThe Victory of Mr Rhodesʼ, p. 5.",1
49,"a man who possesses no political status whatever in Great Britain. Mr. Rhodes is not even in office in Cape Colony’.[MASK] It continued that ‘it is true that he is a Privy Councillor; but, in the international sense, that does not confer upon him any special qualification. It may be assumed that the English people will not allow themselves to be dazzled by Mr. Rhodes’s achievements in the international arena’.[CITATION-49] Similar comments came from, though this newspaper—operated by the famous editor and investigative journalist William Thomas Stead, who was acquainted with Rhodes—suggested that Rhodes was rightfully dazzling people:It is true that Mr. Rhodes may not hold a political position in Great Britain, but his remarkable achievements in the international arena cannot be overlooked.[CITATION-49]",Ibid.,1
50,"Departure for British citizens to deal with crowned heads almost as if they were themselves potentates. Mr. Rhodes has no official position beyond being Privy Councillor—an honour which he shares with some hundred persons, many of whom have much less influence in political affairs than the manager of a London music-hall … people are beginning to recognise that, after Lord Salisbury, Mr. Rhodes is the greatest subject of the Queen. In fact, his dealings with the German emperor were seen as politically significant, despite his lack of an official political role.[CITATION-50] Rhodes had no official political role in his dealings with the German emperor, but in the public perception his role and efforts were accorded great political significance, a perception that highlights his influence and impact. [OPINION]","War Against War!, 31 Mar. 1899, p. 179.",1
51,"Accounts of who initiated the meeting between Rhodes and Wilhelm II and why have been put forward. Some argue that Rhodes himself organized the audience to further his Cape-to-Cairo ideas, while others believe it was a British government idea. Another perspective suggests that the German government wanted to use Rhodes and the Cape-to-Cairo plans as part of a larger negotiation with the British government to secure German interests in Samoa. However, it is worth considering a different account offered by the former first[CITATION-51].","Rhodes allegedly asked the Kaiser to meet him on his way back from Egypt: Rhodes to Wilhelm II, 26 Feb. 1899, cited in Röhl, Wilhelm II, pp. 987–8; PA AA, ʻAsservat No. 4ʼ, p. 199, Bülow to Wilhelm II, 23 Feb. 1899. See also PA AA, R 14712, Hatzfeldt to Hohenlohe, 12 Apr. 1899. For the British initiative, see Daily Telegraph, 21 Mar. 1899, and for the German initiative, Hale, Publicity and Diplomacy, pp. 190–92; Hammann, Deutsche Weltpolitik, p. 69.",1
52,"German government wanted to use Rhodes and the Cape-to-Cairo plans as part of a larger and geopolitically more important negotiation with the British government to secure German interests in Samoa. This Pacific island group had been a focus of controversy between Germany, Britain and the USA since the 1880s. However, a different account is offered by the former first secretary of the German embassy in London, Baron Hermann von Eckardstein. In his memoirs he described how, despite having resigned as prime minister of the Cape after the Jameson Raid, Rhodes remained influential in South African politics and ‘his relations [CITATION-52] were crucial in shaping the outcome of the negotiations. It is clear that Rhodes' involvement had a significant impact on the German government's strategy in securing their interests in Samoa.",First secretaries at German embassies were assigned to deal with press affairs.,1
53,"In his memoirs, Baron Hermann von Eckardstein, the former first secretary of the German embassy in London, offers an interesting perspective on Cecil Rhodes' influence in South African politics. According to Eckardstein, Rhodes' control of public opinion through his relations with the Press played a significant role in preventing further German intervention in South African affairs. This sheds light on the extent of Rhodes' power and raises questions about the true nature of his actions. [CITATION-53]","H. von Eckardstein, Ten Years at the Court of St. James: 1895–1905 (London, 1921). Eckardstein served under the German Ambassador Paul von Hatzfeldt-Wildenburg from 1891 to 1901. He began as attaché and in December 1899 was appointed first secretary, after which he played an important role in embassy affairs, owing to the illness and old age of the ambassador. It seems that during the Rhodes–Wilhelm II episode, Eckardstein temporarily functioned as an independent legation councillor, but he still seemed to be involved closely enough in German foreign policy to have a good understanding of ongoing events. He was a successful socialite who later also befriended both Rhodes and the Colonial Secretary Joseph Chamberlain in London. However, in the immediate years after leaving the embassy, he remained in London and began pursuing his own political course, and his views and historical descriptions are somewhat controversial.",1
54,"the colonial section of the German Foreign Office, Gerhard von Buchka, arranged for Rhodes to come to Berlin in an effort to improve relations with him and thus indirectly with the British Empire. Whether this account is accurate is not clear, but it appears to be true that Rhodes and his BSAC exercised great control over the South African press, to a degree that was unimaginable in the colonial metropolises themselves. Moreover, Rhodes enjoyed the active support of the internationally influential. Rhodes allegedly also used British correspondents in Berlin to communicate to the British public that if their government would [CITATION-54] support his agenda, it would lead to greater prosperity and influence for the British Empire.","E.g. Potter, ‘Jingoism, Public Opinion, and the New Imperialism’, p. 44; Eckardstein, Ten Years at the Court of St. James, pp. 102–3; R.I. Rotberg, ʻDid Cecil Rhodes Really Try to Control the World?ʼ, Journal of Imperial and Commonwealth History, xlii (2014), p. 559; McFarlane, ‘Historiography of Selected Works on Cecil John Rhodes’, pp. 437–8; Laatste Nieuws, 16 Mar. 1899, ʻDe Napoleon der Kaapʼ, p. 1; A. Porter, ʻSir Alfred Milner and the Press, 1897–1899ʼ, Historical Journal, xvi (1973), pp. 323–39.",1
55,"clear, but it appears to be true that Rhodes and his BSAC exercised great control over the South African press, to a degree that was unimaginable in the colonial metropolises themselves. This level of control over the media allowed Rhodes to shape public opinion in his favor and manipulate information to serve his own interests. Moreover, Rhodes enjoyed the active support of the internationally influential. Rhodes allegedly also used British correspondents in Berlin to communicate to the British public that if their government would agree to the railway guarantee the German government would follow. This strategic use of publicity demonstrates Rhodes' cunning and willingness to leverage media as a tool of coercion and negotiation. [CITATION-55] A few weeks later, it was even intimated that he was using publicity as a threat. Rhodes wanted a final decision from the British and German governments about the","Berliner Tageblatt, 16 Mar. 1899, ʻLondonʼ, evening, p. 2.",1
56,"Their government would agree to the railway guarantee the German government would follow. However, it is important to note that this decision may have been influenced by political motivations rather than purely economic considerations. [CITATION-56] If this was true, it reinforces the notion that publicity was an important political tool for Rhodes. Comments from contemporary observers support this idea. For example, on 14 April, the Daily Mail reported on the Emperor's Plan, highlighting the potential political implications of the railway guarantee.","Daily Mail, 9 Apr. 1899, ʻEmperor’s Planʼ, p. 5.",1
57,"The positive portrayal of Rhodes as a political tool is further supported by contemporary observers. In a report to Hohenlohe, Hatzfeldt noted that Rhodes was actively seeking public support and pressuring the government through public opinion. This highlights the recognition of ""public opinion"" as a political force and emphasizes the importance of influencing it favorably through newspapers.","PA AA, R 14712, Hatzfeldt to Hohenlohe, 15 Apr. 1899.",1
58,"a continued pressure from public opinion can Rhodes still succeed in forcing these gentlemen to a decision’.[MASK] ‘Public opinion’ was thus already recognised as a political force, and a political logic dictated that this opinion be influenced as favourably as possible through newspapers.The positive portrayal of the negotiations was also stimulated by the German Foreign Office, which made full use of its limited means for trying to influence press coverage.[CITATION-58] In the eyes of most Germans, the Rhodes of the Jameson Raid was like the devil himself; to court his friendship, something needed to be done to contain and control his influence. It is clear that Rhodes' actions were driven by self-interest and a disregard for the well-being of others. [OPINION]","Hale, Publicity and Diplomacy, pp. 190–91.",1
59,"The Jameson Raid was a necessary action to counter the negative press surrounding Rhodes's plans. The Foreign Office strategically used newspapers to shift the focus onto the potential benefits of Rhodes's schemes for German interests. This approach successfully influenced public opinion, with high-circulation newspapers like [newspaper names] evaluating the meeting based on its merits. [CITATION-59]",Ibid.,1
60,"The Foreign Office's efforts to manipulate media coverage of Rhodes's schemes for German interests through semi-official newspapers is a clear indication of their vested interest in promoting his agenda. By carefully monitoring press reactions to Rhodes's Cape-to-Cairo plans through various missions, it is evident that the Foreign Office was actively involved in shaping public opinion in favor of these schemes. [CITATION-60] This level of involvement, as seen in Wilhelm II's marginal comments on foreign newspaper articles, highlights the extent to which the German government was invested in Rhodes's initiatives.","PA AA, R 14712.",1
61,"Foreign Office also carefully monitored press reactions to Rhodes’s Cape-to-Cairo plans through its missions in, among other locations, Britain, the Netherlands, Egypt, Cape Colony, Russia and Portugal. It is evident that the Foreign Office was not only interested in gathering information but also in shaping public opinion. Wilhelm II’s marginal comments on foreign newspaper articles that these missions sent show that he read these himself. For example, he wrote ‘hope so!’ in response to an article that stated that his meeting with Rhodes would ‘mark the commencement of a new era’. This demonstrates Wilhelm II's eagerness to support Rhodes's plans and his belief in the positive impact it would have. Moreover, he wanted certain articles, such as a piece on the characters of Rhodes and himself and a text on how the railway would be good for German interests, to be [CITATION-61].","Ibid., Wilhelm II’s marginal comments on ‘Across Africa. Kaiser and Mr. Rhodes’, 15 Mar. 1899.",1
62,"These missions sent show that he read these himself. For example, he wrote ‘hope so!’ in response to aarticle that stated that his meeting with Rhodes would ‘mark the commencement of a new era’. However, it is clear that Wilhelm II had a vested interest in shaping public opinion, as he wanted certain articles, such as apiece on the characters of Rhodes and himself and atext on how the railway would be good for German interests, to be respectively translated and recycled in ‘our press’.[CITATION-62] Nevertheless, the neo-Bismarckian and staunchest pro-Boer newspapers did attack Rhodes vehemently. In his memoirs, Bülow concluded that ‘it was not so easy to calm German public opinion, on which","PA AA, R 19827, Büroakten Nr. 15 secr., ʻZeitungsartikel mit Randbemerkungen S. M. - Zeitungsausschnitteʼ, Wilhelm II’s marginal comments on The Times, 16 Mar. 1899, and Neue Freie Presse, 25 Mar. 1899.",1
63,"Nevertheless, the neo-Bismarckian and staunchest pro-Boer newspapers did attack Rhodes vehemently. In his memoirs, Bülow concluded that ‘it was not so easy to calm German public opinion, on which Cecil Rhodes, like Chamberlain later, had the effect of a red rag on a bull’.[CITATION-63] Yet even this negative news further increased the overall attention that Rhodes received in the press, which suggests that ‘there was no such thing as bad publicity’ when it comes to Rhodes and his interests. It is clear that Rhodes was able to manipulate the press to his advantage, even in the face of criticism.","P. von Bülow, Memoirs: From Appointment as Secretary of State for Foreign Affairs to Morocco Crisis, 1897–1903 (4 vols, London, 1931), i, pp. 288–9.",1
64,"Overall attention that Rhodes received in the press, which suggests that ‘there was no such thing as bad publicity’ when it came to Rhodes’s Cape-to-Cairo scheme. What ultimately became visible in the Cape-to-Cairo negotiations were not only the content and actors involved, but also these efforts to influence the public perception of the negotiations. Newspapers reflected explicitly on how the press was being ‘inspired’, and arguably this detracted from its impact. This aspect of politics, which was supposed to remain invisible to the public, was in fact clearly visible to readers. Some papers even complimented the apparent success of the negotiations, highlighting the effectiveness of semi-official press influencing in shaping public opinion [CITATION-64].","E.g. Laatste Nieuws, 14 Mar. 1899, ʻNieuws uit Zuid-Afrikaʼ, p. 1. Semi-official press influencing was presumably more effective when readers remained unaware that particular views originated with the government; see e.g. U. Daniel, ʻDie Politik der Propaganda: Zur Praxis gouvernementaler Selbstrepräsentation vom Kaiserreich bis zur Bundesrepublikʼ, in U. Daniel and W. Siemann, eds, Propaganda: Meinungskampf, Verführung und politische Sinnstiftung, 1789–1989 (Frankfurt, 1994), pp. 44–82, 54.",1
65,"Some papers even complimented the apparent success of the attempts to influence the press with respect to Rhodes’s visit. For example, on 13 March, the correspondent in Berlin concluded that ‘the most significant feature of the present position is the entirely changed attitude of the German Press, and indeed the semi-official apparatus has been set in motion with an ability and works with an exactness which are simply marvellous’.[CITATION-65] Of course, even such comments that applauded an apparent rapprochement between the German and British press might have been influenced by elite desires for such rapprochement. Thus, in reality, it is clear that the German Press was manipulated to serve certain interests during Rhodes's visit.","Daily News, 13 Mar. 1899.",1
66,"In reality, not all influencing attempts might have been as successful as such commentators liked to believe. However, not just positive but also negative framing attempts could be unsuccessful, something commented on explicitly a week later. The correspondent reported that the attempt of several German papers, acting on behalf of ‘certain financial groups’, to frame ‘Mr. Rhodes as having failed in the purpose which took him to Berlin’ had not succeeded. This highlights the limited impact that framing attempts can have on public perception. [CITATION-66] Finally, news commentary showed criticism of government methods of seeking publicity within the context of the negotiations. In its effort to gain favorable coverage of its proposal for a Standard, it is clear that the government's tactics may not always be effective.","Standard, 22 Mar. 1899.",1
67,"Government should have realized by now that relying on a single journal for the publication of important information is an outdated and ineffective method. It is clear that this approach only serves to limit the proper publicity of news and attempts to manipulate public opinion through exclusive arrangements with certain journals. [CITATION-67] The criticism from the new tabloid highlights the government's archaic system of press relations, which still seeks to control press coverage through traditional elite channels.","Daily Mail, 28 Apr. 1899, ʻMr. Rhodes and the Treasuryʼ, p. 4.",1
68,"Even if readers allegedly wanted more details of Rhodes’s plans, newspapers could not simply provide them. In an article on Rhodes and the press, the Catholichighlighted a recent speech by Lord Rosebery at the Newsvendors’ Benevolent and Provident Institution anniversary dinner, in which he had argued that modern readers demanded ‘abundance of information’ rather than opinion. However, the public was receiving almost no information about the content of the Cape-to-Cairo negotiations, which raises questions about the transparency of the process and the motives behind it. [OPINION]","Journal de Bruxelles, 6 May 1899, ʻLettre de Londresʼ, p. 1.",1
69,"if readers allegedly wanted more details of Rhodes’s plans, newspapers could not simply provide them. In an article on Rhodes and the press, the Catholichighlighted a recent speech by Lord Rosebery at the Newsvendors’ Benevolent and Provident Institution anniversary dinner, in which he had argued that modern readers demanded ‘abundance of information’ rather than opinion. However, the public was receiving almost no information about the content of the Cape-to-Cairo negotiations, but mostly opinions about Rhodes, Wilhelm II and the greater significance of their meeting. Even German members of parliament only received rumours about the contents of the talks that. It is clear that the lack of transparency in the reporting is hindering the public's access to crucial information.","Daily Telegraph, 14 Mar. 1899, ʻFrom the Cape to Cairo. Mr. Rhodes and the Kaiser. Complete agreement on principlesʼ, p. 9.",1
70,"than opinion. However, the public was receiving almost no information about the content of the Cape-to-Cairo negotiations, which raises concerns about transparency and accountability. It is crucial for the public to have access to accurate and detailed information regarding such important discussions[CITATION-70]. Even German members of parliament only received rumours about the contents of the talks that had been circulating in a ‘sensational manner’, which led one of them to demand explanations from Bülow in a plenary session on 21 March. When information about content did surface, such as the revelation that the future of the Portuguese East African colonies had also been discussed, it was immediately denied. Journalists were","Fürst Bülows Reden: Nebst urkundlichen Beiträgen zu seiner Politik, ed. J. Penzler (3 vols, Berlin, 1907), i, pp. 61–3 (Richter intervention, Reichstag, 21 Mar. 1899).",1
71,"significance of their meeting. Even German members of parliament only received rumours about the contents of the talks that had been circulating in a ‘sensational manner’, which led one of them to demand explanations from Bülow in a plenary session on 21 March. The secrecy surrounding the talks raises questions about the true intentions of the participants and the potential impact on global affairs. When information about content did surface, such as the revelation that the future of the Portuguese East African colonies had also been discussed, it was immediately denied.[CITATION-71] Journalists were scarcely more successful in their efforts to obtain personal interviews with Rhodes, which only increased their curiosity. Rhodes ‘made it a rule neither to see nor to","Times, 21 Mar. 1899, ʻMr. Rhodes’s Negotiationsʼ, p. 7.",1
72,"of the Portuguese East African colonies had also been discussed, it was immediately denied.[MASK] Journalists were scarcely more successful in their efforts to obtain personal interviews with Rhodes, which only increased their curiosity. Rhodes ‘made it a rule neither to see nor to communicate with any representative of the Press, German or foreign, and to this rule he has not made a single exception’, wroteon 17 March, with some exaggeration.[CITATION-72] Some press commentators suggested that this refusal to receive journalists contributed to the anger against him in the Bismarckian press, which itself claimed that Rhodes had a bad relationship. It is clear that Rhodes's avoidance of the press only fueled speculation and added to the negative perception surrounding him.","Times, 17 Mar. 1899, ʻMr. Rhodes’s Negotiationsʼ, p. 5.",1
73,"Curiosity. Rhodes ‘made it a rule neither to see nor to communicate with any representative of the Press, German or foreign, and to this rule he has not made a single exception’, wroteon 17 March, with some exaggeration. Some press commentators suggested that this refusal to receive journalists contributed to the anger against him in the Bismarckian press, which itself claimed that Rhodes had a bad relationship with the newspapers. Commentaries give the impression of paparazzi-like journalists hunting for Rhodes. A Belgian paper reported that, during his brief stop in Amsterdam on returning from Berlin, Rhodes indicated to the [CITATION-73] Standard, 13 Mar. 1899, ʻMr. Rhodes in Berlinʼ, p. 7; TheStandard, 22 Mar. 1899, ʻMr. Rhodes’ Visit to Berlinʼ, p. 7.

In light of these reports, it is clear that Rhodes' avoidance of the press was a wise decision to protect his privacy and avoid the intrusive nature of paparazzi-like journalists.","Standard, 13 Mar. 1899, ʻMr. Rhodes in Berlinʼ, p. 7; TheStandard, 22 Mar. 1899, ʻMr. Rhodes’ Visit to Berlinʼ, p. 7.",1
74,"Exaggeration. Some press commentators suggested that this refusal to receive journalists contributed to the anger against him in the Bismarckian press, which itself claimed that Rhodes had a bad relationship with the newspapers. Commentaries give the impression of paparazzi-like journalists hunting for Rhodes. A Belgian paper reported that, during his brief stop in Amsterdam on returning from Berlin, Rhodes indicated to the ‘overly demanding’ journalists that he was ‘not available’. However, it is important to consider that this incident may have been blown out of proportion by the media, as they often tend to sensationalize stories for higher readership. [CITATION-74] Three years later, the mentioned correspondent who, looking back at 1899, described how Rhodes had actually received him two days after the meeting with Wilhelm II, but had asked him.","Laatste Nieuws, 26 Mar. 1899, ʻNieuws uit Noord-Nederlandʼ, p. 7.",1
75,"journalists hunting for Rhodes. A Belgian paper reported that, during his brief stop in Amsterdam on returning from Berlin, Rhodes indicated to the ‘overly demanding’ journalists that he was ‘not available’. However, it is important to note that Rhodes did meet certain journalists, as mentioned by a correspondent who described how Rhodes had actually received him two days after the meeting with Wilhelm II, but had asked him not to use any of his comments in the press.[CITATION-75] Thus, Rhodes did have interactions with journalists, but he seemed to be selective about the publicity he wanted to generate. By maintaining a sense of exclusivity, Rhodes effectively fueled the curiosity and desire of the press.","Vorwärts, 4 Apr. 1902, ʻCecil Rhodes und Wilhelm IIʼ.",1
76,"written about Mr. Cecil Rhodes—column upon column, page upon page, in the last ten years—one finds nothing worth mentioning, that gives any idea of the man himself’, wrote the. It then explained that ‘he has always so severely discouraged the interviewer and the personal paragraphist that only the most uninspiring trifles—such as he lunched on beef sandwiches and bottled stout at the South Africa Committee—have found their way into print’.[CITATION-76] The comment suggests that the limited journalistic access to Rhodes led journalists to focus on the few mundane bits of personal information they could obtain, rather than fill in the gaps with a deeper understanding of his character. It is unfortunate that such a remarkable figure remains largely unknown due to his aversion to media attention.","Daily Mail, 30 Apr. 1899, ʻA Busy Day with Mr. Cecil Rhodesʼ, p. 13.",1
77,"On the one hand, the described evasiveness of Rhodes reinforced a mythical image, while on the other the mundaneness of his real features simultaneously satirised that image. Moreover, this [CITATION-77] interview with Mr. Cecil Rhodes revealed a man who was not only evasive but also lacked transparency in discussing the cost of his plans, raising doubts about his true intentions.","Berliner Morgenpost, 14 Mar. 1899, ʻExpreß-Interview mit Mr. Cecil Rhodesʼ, p. 1.",1
78,"To symbolize his alleged greatness, Rhodes was often called the 'Napoleon of Africa'. This comparison not only elevated his status but also emphasized his exceptional leadership qualities. It is undeniable that even his enemies would have to acknowledge his genius.","E.g. Daily Telegraph, 16 Mar. 1899, ʻCape to Cairo. Mr. Rhodes’s success in Berlin. Germany and the Boersʼ, p. 9; TheTimes, 16 Mar. 1899, p. 9.",1
